#separator:tab
#html:true
Text	Extra	Tags
{{c1::Although}} the feature was delayed, the quality improved.	Use although as a logical connector.	english_grammar level_5 sentence_connectors cloze
{{c1::Because}} the data was inconsistent, the model stayed in training mode.	Use because as a logical connector.	english_grammar level_5 sentence_connectors cloze
{{c1::Because}} the team had a new lead, the project accelerated.	Use because as a logical connector.	english_grammar level_5 sentence_connectors cloze
The monitoring logs are clearer, {{c1::furthermore}}, rollback is now faster.	Use furthermore as a logical connector.	english_grammar level_5 sentence_connectors cloze
The app is faster, {{c1::furthermore}}, support response times are lower.	Use furthermore as a logical connector.	english_grammar level_5 sentence_connectors cloze
{{c1::Could you please share the figures?}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::It appears that the report is ready.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::Please ensure the file is complete.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::The committee approved the proposal.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::The meeting was rescheduled due to travel delays.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::Please verify that all citations are up to date.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::The board will review the final proposal tomorrow.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::Kindly submit your final comments by close of business.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
{{c1::The committee formally confirmed the revised milestones.}}	Maintain formal style and precision.	english_grammar level_5 formal_grammar cloze
The timeline {{c1::may}} shift unexpectedly.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
The results {{c1::might}} improve next quarter.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
We {{c1::may}} not be fully staffed this week.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
{{c1::Perhaps}} we should review this again.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
This {{c1::seems}} potentially useful.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
This is {{c1::likely}} to be delayed.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
This {{c1::may}} not be feasible without extra testing.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
This strategy {{c1::could}} be the best option.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
The requirements {{c1::may}} change during implementation.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
The change {{c1::might}} not be permanent.	Use hedging to soften claims.	english_grammar level_5 hedging cloze
She {{c1::seems}} to need more data.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
It {{c1::appears}} to need follow-up.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The draft {{c1::may}} be revised in phase two.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
We {{c1::could}} use additional QA.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The team {{c1::might}} need further validation.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
This plan {{c1::should}} be reviewed for scope.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The timeline {{c1::should}} stay stable.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The dataset {{c1::might}} need another split.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The client {{c1::could}} approve this next month.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The interface {{c1::seems}} to need simplification.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The estimate {{c1::may}} be adjusted soon.	Choose subtle modal.	english_grammar level_5 modal_nuance cloze
The policy is likely to be revised. {{c1::Therefore, we postponed publication.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The result seems clear. {{c1::However, further validation is still required.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
He might not be fully certain. {{c1::Therefore, we should avoid a definitive claim.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The method was considered robust. {{c1::Moreover, it performed well under load.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The team had substantial concerns. {{c1::Therefore, the release was delayed.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The model performed below expectations. {{c1::Consequently, we revised the training data.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The report contained incomplete metadata. {{c1::Therefore, we delayed publication.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The schedule was adjusted again. {{c1::As a result, the client was notified.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The dashboard showed stable error rates. {{c1::Nevertheless, we continued monitoring.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
The release was delayed by one week. {{c1::Consequently, the announcement was updated.}}	Choose a register-aware follow-up sentence.	english_grammar level_5 style_and_register cloze
