English	English Meaning	English Example	Spanish	Pronunciation Hint	Spanish Meaning	Spanish Example	Spanish Meaning (English)	Spanish Example (English)	Spanish Article	Spanish Gender	Spanish Number	Spanish Part of Speech	Spanish Forms	Notes	Status	Source Deck	Source Card	Tags
response	A response is the answer to a question.	He asked if I was sad. My response was “No.”	la respuesta	la res-PUES-ta	Contestación o réplica a una pregunta.	Le preguntó si estaba triste. Mi respuesta fue “No”.	A response is the answer to a question.	He asked if I was sad. My response was “No.”	la	feminine	singular	noun	singular: la respuesta; plural: las respuestas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
season	A season is a time of the year: spring, summer, fall, or winter.	Fall is a warm season, while winter is very cold.	la estación	la es-ta-SION	período del año como primavera, verano, otoño o invierno.	El otoño es una estación cálida, mientras que el invierno es muy frío.	A season is a time of the year: spring, summer, fall, or winter.	Fall is a warm season, while winter is very cold.	la	feminine	singular	noun	singular: la estación; plural: las estaciones		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
solution	A solution is a way to solve a problem.	There are many problems. We need solutions!	la solución	la so-lu-SION	Una forma de resolver un problema.	Hay muchos problemas; necesitamos soluciones.	A solution is a way to solve a problem.	There are many problems. We need solutions!	la	feminine	singular	noun	singular: la solución; plural: las soluciones		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
waste	To waste means to use something carelessly and unnecessarily.	Turn off the water so you don’t waste it.	desperdiciar	des-per-di-SIAR	Usar algo en exceso o innecesariamente.	Cierra el agua para no desperdiciarla.	To waste means to use something carelessly and unnecessarily.	Turn off the water so you don’t waste it.				verb	infinitive: desperdiciar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
whether	You use whether when you must choose between two things.	I could not decide whether to go left or right.	si	SI	Conjunción para indicar dos alternativas.	No podía decidir si ir a la izquierda o a la derecha.	You use whether when you must choose between two things.	I could not decide whether to go left or right.						note: uso condicional	reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
always	Always means that something happens all the time.	They always brush their teeth in the morning.	siempre	SIEM-pre	En todo momento, siempre.	Siempre se cepillan los dientes por la mañana.	Always means that something happens all the time.	They always brush their teeth in the morning.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
ask	To ask is to say or write something to get an answer.	Please ask questions if you do not understand.	preguntar	pre-gun-TAR	Pedir información o solicitar algo por una pregunta.	Por favor, pregunta si no entiendes.	To ask is to say or write something to get an answer.	Please ask questions if you do not understand.				verb	infinitive: preguntar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
banana	A banana is a long yellow fruit with soft white flesh inside.	Did you eat a banana for breakfast?	el plátano	el PLA-ta-no	Fruta alargada y amarilla de pulpa blanda.	¿Comiste un plátano en el desayuno?	A banana is a long yellow fruit with soft white flesh inside.	Did you eat a banana for breakfast?	el	masculine	singular	noun	singular: el plátano; plural: los plátanos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
bread	Bread is a food made from flour and water.	You need two pieces of bread to make a sandwich.	el pan	el PAN	Alimento hecho con harina y agua, y a menudo se cuece para comer.	Necesitas dos rebanadas de pan para hacer un sándwich.	Bread is a food made from flour and water.	You need two pieces of bread to make a sandwich.	el	masculine	singular	noun	singular: el pan; plural: los panes		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
cake	Cake is a sweet dessert made from flour, water, sugar, and eggs.	What a beautiful birthday cake!	la tarta	la TAR-ta	Postre dulce y esponjoso hecho con harina y azúcar.	¡Qué linda tarta de cumpleaños!	Cake is a sweet dessert made from flour, water, sugar, and eggs.	What a beautiful birthday cake!	la	feminine	singular	noun	singular: la tarta; plural: las tartas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
carrot	A carrot is an orange vegetable.	I put a carrot in my salad.	la zanahoria	la sa-na-O-ria	Verdura naranja de raíz.	Puse una zanahoria en mi ensalada.	A carrot is an orange vegetable.	I put a carrot in my salad.	la	feminine	singular	noun	singular: la zanahoria; plural: las zanahorias		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
chicken	Chicken is a bird that is often used for food.	Chicken is his favorite kind of meat.	el pollo	el POL-lo	Ave domesticada usada como alimento.	El pollo es su tipo favorito de carne.	Chicken is a bird that is often used for food.	Chicken is his favorite kind of meat.	el	masculine	singular	noun	singular: el pollo; plural: los pollos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
chocolate	Chocolate is a sweet food made from cacao beans.	I made a chocolate cake for my mom’s party.	el chocolate	el ço-ko-LA-te	Alimento dulce hecho de cacao y azúcar.	Hice un pastel de chocolate para la fiesta de mamá.	Chocolate is a sweet food made from cacao beans.	I made a chocolate cake for my mom’s party.	el	masculine	singular	noun	singular: el chocolate; plural: los chocolates		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
contain	To contain is to hold or have something.	I have to find something to contain these apples.	contener	kon-te-NER	Guardar o incluir algo dentro.	Necesito encontrar algo para contener estas manzanas.	To contain is to hold or have something.	I have to find something to contain these apples.				verb	infinitive: contener; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
delicious	If a food is delicious, it is tasty.	I loved the delicious fried chicken I ate for dinner!	delicioso	de-li-SIO-so	Que sabe muy bien; sabroso.	Me encantó el pollo frito delicioso que comí anoche.	If a food is delicious, it is tasty.	I loved the delicious fried chicken I ate for dinner!							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
diet	A diet is the food regularly eaten by a person.	His diet mostly consists of fruits and vegetables.	la dieta	la DIE-ta	Conjunto habitual de alimentos que una persona consume.	Su dieta consiste sobre todo en frutas y verduras.	A diet is the food regularly eaten by a person.	His diet mostly consists of fruits and vegetables.	la	feminine	singular	noun	singular: la dieta; plural: las dietas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
eat	To eat is to chew and swallow food.	You should eat breakfast every day.	comer	ko-MER	Ingerir alimentos masticando y tragándolos.	Deberías comer desayuno todos los días.	To eat is to chew and swallow food.	You should eat breakfast every day.				verb	infinitive: comer; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
food	Food is things people and animals eat.	Pasta is a famous food in Italy.	la comida	la ko-MI-da	Alimentos que se comen.	La pasta es una comida famosa en Italia.	Food is things people and animals eat.	Pasta is a famous food in Italy.	la	feminine	singular	noun	singular: la comida; plural: las comidas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
fruit	Fruit is a type of healthy food that grows on trees and plants.	Apples, pears, and oranges are types of fruit.	la fruta	la FRU-ta	Parte comestible dulce o ácida de plantas y árboles.	Las manzanas, peras y naranjas son frutas.	Fruit is a type of healthy food that grows on trees and plants.	Apples, pears, and oranges are types of fruit.	la	feminine	singular	noun	singular: la fruta; plural: las frutas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
great	When something is great, it is very good.	It was a great, exciting game!	excelente	e-xse-LEN-te	Muy bueno o excelente.	Fue un juego excelente y emocionante.	When something is great, it is very good.	It was a great, exciting game!							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
health	Health is the state of a person’s body.	People who want good health should not smoke.	la salud	la sa-LUD	Estado de bienestar físico y funcional del cuerpo.	Las personas que quieren buena salud no deberían fumar.	Health is the state of a person’s body.	People who want good health should not smoke.	la	feminine	singular	noun	singular: la salud; plural: las saludes		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
recipe	A recipe is a set of instructions for cooking a certain type of food.	Do you use a recipe when you make that sauce?	la receta	la re-SE-ta	Instrucciones para preparar un alimento.	¿Usas una receta cuando haces esa salsa?	A recipe is a set of instructions for cooking a certain type of food.	Do you use a recipe when you make that sauce?	la	feminine	singular	noun	singular: la receta; plural: las recetas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
restaurant	A restaurant is a business where people sit and eat food.	Let’s eat at the Indian restaurant.	el restaurante	el res-tau-RAN-te	Lugar donde se sirve comida para comer.	Vamos a comer al restaurante indio.	A restaurant is a business where people sit and eat food.	Let’s eat at the Indian restaurant.	el	masculine	singular	noun	singular: el restaurante; plural: los restaurantes		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
special	If something is special, it is unique and different.	The cupcake was special because it had blue frosting.	especial	es-pe-SIAL	Diferente, único o destacado.	El cupcake era especial porque tenía glaseado azul.	If something is special, it is unique and different.	The cupcake was special because it had blue frosting.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
water	Water is a clear liquid that people need to survive.	Drink eight cups of water every day.	el agua	el A-gua	Líquido transparente esencial para vivir.	Bebe ocho vasos de agua cada día.	Water is a clear liquid that people need to survive.	Drink eight cups of water every day.	el	feminine	singular	noun	singular: el agua; plural: las aguas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
alive	Someone or something that is alive is not dead.	My grandparents are still alive even though they are over 90.	vivo	BI-bo	Que tiene vida.	Mis abuelos siguen vivos aunque tienen más de 90 años.	Someone or something that is alive is not dead.	My grandparents are still alive even though they are over 90.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
bone	A bone is a hard part of the body.	I brought home a nice bone for my dog.	el hueso	el UE-so	Parte dura del cuerpo animal o humano.	Le llevé un hueso bonito a mi perro.	A bone is a hard part of the body.	I brought home a nice bone for my dog.	el	masculine	singular	noun	singular: el hueso; plural: los huesos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
bother	To bother is to make the effort to do something.	No one bothered to wash the dishes today.	molestar	mo-les-TAR	Causar fastidio o incomodidad, o dar trabajo extra.	Nadie se molestó en lavar los platos hoy.	To bother is to make the effort to do something.	No one bothered to wash the dishes today.				verb	infinitive: molestar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
captain	A captain is the person who controls a ship or airplane.	The captain sailed his ship to Australia.	el capitán	el ka-pi-TAN	Persona que dirige un barco o avión.	El capitán llevó su barco hacia Australia.	A captain is the person who controls a ship or airplane.	The captain sailed his ship to Australia.	el	masculine	singular	noun	singular: el capitán; plural: los capitanes		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
conclusion	The conclusion of something is the final part of it.	At the conclusion of the race, the spectators cheered for the winner.	la conclusión	la kon-klu-SION	Parte final de un proceso o evento.	Al final de la carrera, los espectadores aplaudieron al ganador.	The conclusion of something is the final part of it.	At the conclusion of the race, the spectators cheered for the winner.	la	feminine	singular	noun	singular: la conclusión; plural: las conclusiones		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
doubt	Doubt is a feeling of not being sure.	I have doubt that the story is true.	la duda	la DU-da	Sentimiento de inseguridad sobre algo.	Tengo dudas de que la historia sea verdadera.	Doubt is a feeling of not being sure.	I have doubt that the story is true.	la	feminine	singular	noun	singular: la duda; plural: las dudas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
explore	To explore is to look for new places.	He wants to explore the world and see new things.	explorar	e-xplo-RAR	Buscar y conocer lugares nuevos.	Quiere explorar el mundo y ver cosas nuevas.	To explore is to look for new places.	He wants to explore the world and see new things.				verb	infinitive: explorar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
glad	If you are glad, you are happy.	I am glad you came to my party.	feliz	fe-li-S	Sentirse contento o satisfecho.	Me alegra que hayas venido a mi fiesta.	If you are glad, you are happy.	I am glad you came to my party.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
however	However means despite or not being influenced by something.	She is a great cook. However, she never had professional lessons.	sin embargo	SIN em-BAR-go	No obstante, a pesar de lo anterior.	Ella es una gran cocinera; sin embargo, nunca tuvo clases profesionales.	However means despite or not being influenced by something.	She is a great cook. However, she never had professional lessons.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
injustice	Injustice is a lack of fairness or justice.	Putting an innocent person in jail is an act of injustice.	la injusticia	la in-hus-TI-sia	Falta de justicia o trato justo.	Poner a una persona inocente en prisión es un acto de injusticia.	Injustice is a lack of fairness or justice.	Putting an innocent person in jail is an act of injustice.	la	feminine	singular	noun	singular: la injusticia; plural: las injusticias		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
international	If something is international, it involves more than one country.	The United Nations is a powerful international organization.	internacional	in-ter-na-sio-NAL	Que involucra a varios países.	La ONU es una organización internacional poderosa.	If something is international, it involves more than one country.	The United Nations is a powerful international organization.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
lawyer	A lawyer works with the law and represents people in court.	The lawyer left the courthouse after the judge made her decision.	el abogado	el a-bo-GA-do	Profesional que ejerce de representación legal.	El abogado salió del tribunal tras la decisión del juez.	A lawyer works with the law and represents people in court.	The lawyer left the courthouse after the judge made her decision.	el	masculine	singular	noun	singular: el abogado; plural: los abogados		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
mention	To mention something is to talk about it.	The doctors mentioned the problems that the patient was having.	mencionar	men-sio-NAR	Hablar o citar algo.	Los médicos mencionaron los problemas que tenía la paciente.	To mention something is to talk about it.	The doctors mentioned the problems that the patient was having.				verb	infinitive: mencionar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
old	Someone who is old has lived for many years.	My mother is seventy years old now.	viejo	BIE-ho	Que tiene muchos años de vida.	Mi madre tiene ahora setenta años de edad.	Someone who is old has lived for many years.	My mother is seventy years old now.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
policy	A policy is a rule.	He told us that his policy was to put customers first.	la política	la po-LI-ti-ka	Norma o principio para actuar.	Dijo que su política era poner primero al cliente.	A policy is a rule.	He told us that his policy was to put customers first.	la	feminine	singular	noun	singular: la política; plural: las políticas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
social	If something is social, it is about many people in a community.	People should come together and fix the world’s social problems.	social	so-SIAL	Relacionado con la sociedad y las personas.	La gente debería unirse para resolver problemas sociales.	If something is social, it is about many people in a community.	People should come together and fix the world’s social problems.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
speech	A speech is something said to a group of people.	She gave a speech to the class.	el discurso	el dis-KUR-so	Texto hablado ante un grupo.	Ella dio un discurso a la clase.	A speech is something said to a group of people.	She gave a speech to the class.	el	masculine	singular	noun	singular: el discurso; plural: los discursos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
staff	A staff is a group of people working together in a company.	My dad has a staff of four people to help him at the office.	la plantilla	la plan-TIL-la	Conjunto de trabajadores de una organización.	Mi padre tiene una plantilla de cuatro personas para ayudarle en la oficina.	A staff is a group of people working together in a company.	My dad has a staff of four people to help him at the office.	la	feminine	singular	noun	singular: la plantilla; plural: las plantillas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
toward	If you go toward something, you go closer to it.	Santa walked toward my house with a bag of gifts.	hacia	A-sia	En la dirección de un punto.	Santa caminó hacia mi casa con una bolsa de regalos.	If you go toward something, you go closer to it.	Santa walked toward my house with a bag of gifts.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
wood	Wood is the thing that trees are made of.	I put the pieces of wood in a pile.	la madera	la ma-DE-ra	Material duro de los árboles.	Puse los trozos de madera en una pila.	Wood is the thing that trees are made of.	I put the pieces of wood in a pile.	la	feminine	singular	noun	singular: la madera; plural: las maderas		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
achieve	To achieve something is to successfully do it after trying hard.	I was happy that I could achieve my goal.	lograr	lo-GRAR	Conseguir algo con esfuerzo.	Me alegré de poder lograr mi objetivo.	To achieve something is to successfully do it after trying hard.	I was happy that I could achieve my goal.				verb	infinitive: lograr; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
advise	To advise someone is to tell them what to do.	My mother often advises people about their money.	aconsejar	a-kon-se-HAR	Dar recomendaciones sobre qué hacer.	Mi madre suele aconsejar a la gente sobre su dinero.	To advise someone is to tell them what to do.	My mother often advises people about their money.				verb	infinitive: aconsejar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
already	If something happens already, it happens before a certain time.	It is already time for the movie to start. Let’s go in.	ya	YA	Antes o en ese momento, no después.	Ya es hora de que empiece la película. Entremos.	If something happens already, it happens before a certain time.	It is already time for the movie to start. Let’s go in.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
basic	If something is basic, it is very simple or easy.	I learned some basic English skills in school today.	básico	BA-si-ko	Lo más simple o fundamental.	Hoy aprendí algunas habilidades básicas de inglés en la escuela.	If something is basic, it is very simple or easy.	I learned some basic English skills in school today.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
bit	A bit is a small amount of something.	I ate a bit of chocolate before I went to bed.	un poco	un PO-ko	Una pequeña cantidad.	Comí un poco de chocolate antes de dormir.	A bit is a small amount of something.	I ate a bit of chocolate before I went to bed.	un	masculine	singular	noun	singular: el poco; plural: los pocos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
consider	To consider something means to think about it.	Pete didn’t like his job. He considered getting a new one.	considerar	kon-si-de-RAR	Pensar seriamente sobre algo.	Pete no le gustó su trabajo y consideró buscar uno nuevo.	To consider something means to think about it.	Pete didn’t like his job. He considered getting a new one.				verb	infinitive: considerar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
destroy	To destroy means to damage something so badly that it cannot be used.	The glass was destroyed.	destruir	des-TRUIR	Dañar algo hasta dejarlo inutilizable.	El vaso fue destruido.	To destroy means to damage something so badly that it cannot be used.	The glass was destroyed.				verb	infinitive: destruir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
entertain	To entertain someone is to do something that they enjoy.	The clown entertained the kids at the party.	entretener	en-tre-te-NER	Divertir o hacer pasar un buen rato.	El payaso entretuvo a los niños en la fiesta.	To entertain someone is to do something that they enjoy.	The clown entertained the kids at the party.				verb	infinitive: entretener; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
extra	If something is extra, it is more than what is needed.	The squirrel had extra nuts for the winter.	extra	E-xtra	Cantidad superior a lo necesario.	La ardilla tenía nueces extra para el invierno.	If something is extra, it is more than what is needed.	The squirrel had extra nuts for the winter.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
goal	A goal is something you work toward.	Her goal was to become a doctor.	el objetivo	el o-bhe-TI-bo	Meta o propósito al que se apunta.	Su objetivo era convertirse en médico.	A goal is something you work toward.	Her goal was to become a doctor.	el	masculine	singular	noun	singular: el objetivo; plural: los objetivos		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
lie	To lie is to say or write something untrue to deceive someone.	Whenever Pinocchio lied to his father, his nose grew.	mentir	men-TIR	Decir una mentira.	Cada vez que Pinocchio mentía, su nariz crecía.	To lie is to say or write something untrue to deceive someone.	Whenever Pinocchio lied to his father, his nose grew.				verb	infinitive: mentir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
meat	Meat is food made of animals.	This piece of meat I’m eating tastes very good.	la carne	la KAR-ne	Alimento de origen animal.	Este trozo de carne que estoy comiendo sabe muy bien.	Meat is food made of animals.	This piece of meat I’m eating tastes very good.	la	feminine	singular	noun	singular: la carne; plural: las carnes		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
opinion	An opinion is a thought about a person or a thing.	Meg told me her opinion of my story. She said it was not funny.	la opinión	la o-pi-NION	Juicio personal sobre algo.	Meg me dijo su opinión de mi historia y dijo que no era graciosa.	An opinion is a thought about a person or a thing.	Meg told me her opinion of my story. She said it was not funny.	la	feminine	singular	noun	singular: la opinión; plural: las opiniones		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
real	If something is real, it actually exists.	Some people don’t believe in aliens from space, but I think they’re real.	real	REAL	Que existe de verdad.	Algunas personas no creen en extraterrestres, pero yo creo que son reales.	If something is real, it actually exists.	Some people don’t believe in aliens from space, but I think they’re real.							reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
reflect	To reflect is when a surface sends back light, heat, sound or an image.	Her face was reflected in the smooth glass.	reflejar	re-fle-HAR	Devolver luz, sonido o imagen.	Su cara se reflejó en el vidrio liso.	To reflect is when a surface sends back light, heat, sound or an image.	Her face was reflected in the smooth glass.				verb	infinitive: reflejar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
regard	To regard people is to think of them in a certain way.	The boy regarded the girl as a good friend.	considerar	kon-si-de-RAR	Pensar de alguien de cierta manera.	El niño consideraba a la niña como una buena amiga.	To regard people is to think of them in a certain way.	The boy regarded the girl as a good friend.				verb	infinitive: considerar; -ar pattern: yo -o; tú -as; él/ella -a; nosotros -amos; ellos -an; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
serve	To serve someone is to give them food or drinks.	He served us our drinks quickly.	servir	ser-BIR	Entregar comida o bebida a alguien.	Nos sirvió las bebidas rápidamente.	To serve someone is to give them food or drinks.	He served us our drinks quickly.				verb	infinitive: servir; -ir pattern: yo -o; tú -es; él/ella -e; nosotros -imos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
vegetable	A vegetable is a plant used as food.	Carrots are my favorite vegetable.	la verdura	la ber-DU-ra	Planta comestible no dulce usada para comer.	Las zanahorias son mi verdura favorita.	A vegetable is a plant used as food.	Carrots are my favorite vegetable.	la	feminine	singular	noun	singular: la verdura; plural: las verduras		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
war	A war is a big fight between two groups of people.	Many young men died in the war.	la guerra	la GER-ra	Conflicto armado entre grupos grandes.	Muchos jóvenes murieron en la guerra.	A war is a big fight between two groups of people.	Many young men died in the war.	la	feminine	singular	noun	singular: la guerra; plural: las guerras		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
worth	If something is worth an amount of money, it costs that amount.	Our house is worth a lot of money.	valer	ba-LER	Tener un precio o valor.	Nuestra casa vale mucho dinero.	If something is worth an amount of money, it costs that amount.	Our house is worth a lot of money.				verb	infinitive: valer; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
appear	To appear is to seem.	She appeared to be sad. She was crying.	parecer	pa-re-SER	Darse la impresión de ser algo.	Parecía estar triste; estaba llorando.	To appear is to seem.	She appeared to be sad. She was crying.				verb	infinitive: parecer; -er pattern: yo -o; tú -es; él/ella -e; nosotros -emos; ellos -en; check irregular or stem-changing forms separately		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
base	The base is the bottom of something.	The base of the table has three legs.	la base	la BA-se	Parte inferior o fundamento.	La base de la mesa tiene tres patas.	The base is the bottom of something.	The base of the table has three legs.	la	feminine	singular	noun	singular: la base; plural: las bases		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
brain	The brain is the organ in your head that lets you think.	You must use your brain to solve the problem.	el cerebro	el se-RE-bro	Órgano cerebral donde se piensa.	Debes usar el cerebro para resolver el problema.	The brain is the organ in your head that lets you think.	You must use your brain to solve the problem.	el	masculine	singular	noun	singular: el cerebro; plural: los cerebros		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
career	A career is a job that you do for a large part of your life.	He was in the hospitality business for most of his career.	la carrera	la kar-RE-ra	Trayectoria profesional prolongada.	Estuvo en el sector hotelero durante la mayor parte de su carrera.	A career is a job that you do for a large part of your life.	He was in the hospitality business for most of his career.	la	feminine	singular	noun	singular: la carrera; plural: las carreras		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
clerk	A clerk is a type of worker. Clerks in a store help customers.	The clerk added up her bill for the groceries.	el cajero	el ka-HE-ro	Empleado que atiende al público en una tienda/oficina.	El cajero sumó su cuenta para las compras de comestibles.	A clerk is a type of worker. Clerks in a store help customers.	The clerk added up her bill for the groceries.	el	masculine	singular	noun	singular: el cajero; plural: los cajeros		reviewed	4000 Essential English Words::1.Book		spanish from_4000_english 4000_essential_english_words_1_book reviewed
