#separator:tab
#html:true
SourceID	DeckPath	Level	Topic	CardType	PromptMode	Front	Answer	TypeAnswer	Back	Formula	Examples	Audio	AudioURL	AudioContributor	AudioLicense	AudioID	Source	Attribution	Tags
a1_2_core_sentences::reflexive_verbs::typed_correction	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	reflexive verbs	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Yo se llamo Luis.</span>"	Yo me llamo Luis	Yo me llamo Luis	The yo reflexive pronoun is me.	Decision rule<br>Use a reflexive pronoun when the subject does the action to itself.<br><br>Pattern<br>me/te/se/nos + reflexive verb<br><br>Common trap<br>The reflexive pronoun changes with the subject.	- Me levanto temprano.<br>- Te llamas Ana.<br>- Se ducha por la mañana.								spanish_core a1_2_core_sentences reflexive_verbs typed_correction
a1_2_core_sentences::reflexive_verbs::typed_production	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	reflexive verbs	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I call myself Ana / My name is Ana."	Me llamo Ana	Me llamo Ana	llamarse is reflexive for names.	Decision rule<br>Use a reflexive pronoun when the subject does the action to itself.<br><br>Pattern<br>me/te/se/nos + reflexive verb<br><br>Common trap<br>The reflexive pronoun changes with the subject.	- Me levanto temprano.<br>- Te llamas Ana.<br>- Se ducha por la mañana.								spanish_core a1_2_core_sentences reflexive_verbs typed_production
a1_2_core_sentences::reflexive_verbs::typed_production_extra_1	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	reflexive verbs	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">reflexive verbs</span><br>me/te/se/nos + reflexive verb<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Me levanto temprano		Use reflexive pronouns when the subject does the action to itself or for daily routines.	Decision rule<br>Use a reflexive pronoun when the subject does the action to itself.<br><br>Pattern<br>me/te/se/nos + reflexive verb<br><br>Common trap<br>The reflexive pronoun changes with the subject.	- Me levanto temprano.<br>- Te llamas Ana.<br>- Se ducha por la mañana.								spanish_core a1_2_core_sentences reflexive_verbs typed_production
a1_2_core_sentences::reflexive_verbs::typed_production_extra_2	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	reflexive verbs	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">reflexive verbs</span><br>me/te/se/nos + reflexive verb<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Te llamas Ana		Use reflexive pronouns when the subject does the action to itself or for daily routines.	Decision rule<br>Use a reflexive pronoun when the subject does the action to itself.<br><br>Pattern<br>me/te/se/nos + reflexive verb<br><br>Common trap<br>The reflexive pronoun changes with the subject.	- Me levanto temprano.<br>- Te llamas Ana.<br>- Se ducha por la mañana.								spanish_core a1_2_core_sentences reflexive_verbs typed_production
a1_2_core_sentences::direct_object_pronouns::rule	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>direct object pronouns"	lo/la/los/las replace direct objects		<b>Use</b><br>Use direct object pronouns to avoid repeating the object.<br><br><b>Common trap</b><br>The pronoun agrees with the object, not the subject.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns rule
a1_2_core_sentences::direct_object_pronouns::typed_contrast	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I see the house -> _____ veo.<br><span class=""front-cue"">Contrast: Lo / La</span>"	La	La	casa is feminine singular.<br><br>Full sentence: La veo.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns typed_contrast
a1_2_core_sentences::direct_object_pronouns::typed_correction	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Veo la película. Lo veo.</span>"	Veo la película. La veo	Veo la película. La veo	película is feminine singular, so la.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns typed_correction
a1_2_core_sentences::direct_object_pronouns::typed_production	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I read it. (it = el libro)"	Lo leo	Lo leo	libro is masculine singular.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns typed_production
a1_2_core_sentences::direct_object_pronouns::typed_production_extra_1	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">direct object pronouns</span><br>lo/la/los/las replace direct objects<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Veo el libro -> Lo veo		Use direct object pronouns to avoid repeating the object.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns typed_production
a1_2_core_sentences::direct_object_pronouns::typed_production_extra_2	Spanish Core Learning::A1.2 Core Sentences	a1_2_core_sentences	direct object pronouns	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">direct object pronouns</span><br>lo/la/los/las replace direct objects<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Compro la camisa -> La compro		Use direct object pronouns to avoid repeating the object.	Decision rule<br>Use lo/la/los/las to replace the direct object.<br><br>Pattern<br>lo/la/los/las replace direct objects<br><br>Common trap<br>The pronoun agrees with the object, not the subject.	- Veo el libro -> Lo veo.<br>- Compro la camisa -> La compro.<br>- Leo los mensajes -> Los leo.								spanish_core a1_2_core_sentences direct_object_pronouns typed_production
a2_1_daily_past::regular_preterite::rule	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>regular preterite"	-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron		<b>Use</b><br>Use preterite for completed past actions.<br><br><b>Common trap</b><br>Present yo hablo is not past; use hablé.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite rule
a2_1_daily_past::regular_preterite::typed_contrast	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>Yesterday I studied.<br><span class=""front-cue"">Contrast: Ayer estudio. / Ayer estudié.</span>"	Ayer estudié	Ayer estudié	Ayer signals a completed past action.<br><br>Full sentence: Ayer estudié.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_contrast
a2_1_daily_past::regular_preterite::typed_correction	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Ayer trabajo mucho.</span>"	Ayer trabajé mucho	Ayer trabajé mucho	Use preterite for completed action yesterday.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_correction
a2_1_daily_past::regular_preterite::typed_production	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I ate bread yesterday."	Ayer comí pan	Ayer comí pan	comer in yo preterite is comí.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_production
a2_1_daily_past::regular_preterite::typed_production_extra_1	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">regular preterite</span><br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Hablé con Ana		Use preterite for completed past actions.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_production
a2_1_daily_past::regular_preterite::typed_production_extra_2	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">regular preterite</span><br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Comí arroz		Use preterite for completed past actions.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_production
a2_1_daily_past::regular_preterite::typed_production_extra_3	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	regular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">regular preterite</span><br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br><span class=""front-instruction"">Model answer 3: compare grammar, word order, accents</span>"	Vivimos en Lima durante dos años		Use preterite for completed past actions.	Decision rule<br>Use preterite for completed past events.<br><br>Pattern<br>-ar: é, aste, ó, amos, aron; -er/-ir: í, iste, ió, imos, ieron<br><br>Common trap<br>Present yo hablo is not past; use hablé.	- Hablé con Ana.<br>- Comí arroz.<br>- Vivimos en Lima durante dos años.								spanish_core a2_1_daily_past regular_preterite typed_production
a2_1_daily_past::irregular_preterite::rule	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>irregular preterite"	ir/ser: fui; tener: tuve; hacer: hice; decir: dije		<b>Use</b><br>Common high-frequency verbs have irregular preterite forms.<br><br><b>Common trap</b><br>fui can mean I went or I was; context decides.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite rule
a2_1_daily_past::irregular_preterite::typed_contrast	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I went to the store.<br><span class=""front-cue"">Contrast: Fui a la tienda. / Iba a la tienda.</span>"	Fui a la tienda	Fui a la tienda	A completed trip uses preterite.<br><br>Full sentence: Fui a la tienda.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_contrast
a2_1_daily_past::irregular_preterite::typed_correction	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Yo tení una reunión.</span>"	Yo tuve una reunión	Yo tuve una reunión	tener has irregular preterite tuve.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_correction
a2_1_daily_past::irregular_preterite::typed_production	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I did the work."	Hice el trabajo	Hice el trabajo	hacer in yo preterite is hice.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_production
a2_1_daily_past::irregular_preterite::typed_production_extra_1	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">irregular preterite</span><br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Fui al mercado		Common high-frequency verbs have irregular preterite forms.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_production
a2_1_daily_past::irregular_preterite::typed_production_extra_2	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">irregular preterite</span><br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Tuve una reunión		Common high-frequency verbs have irregular preterite forms.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_production
a2_1_daily_past::irregular_preterite::typed_production_extra_3	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	irregular preterite	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">irregular preterite</span><br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br><span class=""front-instruction"">Model answer 3: compare grammar, word order, accents</span>"	Hice la tarea		Common high-frequency verbs have irregular preterite forms.	Decision rule<br>Use the irregular preterite stem and endings for completed past events.<br><br>Pattern<br>ir/ser: fui; tener: tuve; hacer: hice; decir: dije<br><br>Common trap<br>fui can mean I went or I was; context decides.	- Fui al mercado.<br>- Tuve una reunión.<br>- Hice la tarea.<br>- Dije la verdad.								spanish_core a2_1_daily_past irregular_preterite typed_production
a2_1_daily_past::imperfect_basics::rule	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>imperfect basics"	-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars		<b>Use</b><br>Use imperfect for background, habits, descriptions, age, and ongoing past states.<br><br><b>Common trap</b><br>Age in the past often uses imperfect: tenía.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics rule
a2_1_daily_past::imperfect_basics::typed_contrast	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>When I was a child<br><span class=""front-cue"">Contrast: Cuando fui niño / Cuando era niño</span>"	Cuando era niño	Cuando era niño	Background identity/description in the past uses imperfect.<br><br>Full sentence: Cuando era niño	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_contrast
a2_1_daily_past::imperfect_basics::typed_correction	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Cuando tuve diez años, vivía en Chile.</span>"	Cuando tenía diez años, vivía en Chile	Cuando tenía diez años, vivía en Chile	Age as background uses imperfect.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_correction
a2_1_daily_past::imperfect_basics::typed_production	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> I used to study every night."	Estudiaba cada noche	Estudiaba cada noche	Repeated past habit uses imperfect.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_production
a2_1_daily_past::imperfect_basics::typed_production_extra_1	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">imperfect basics</span><br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Cuando era niño, vivía en Madrid		Use imperfect for background, habits, descriptions, age, and ongoing past states.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_production
a2_1_daily_past::imperfect_basics::typed_production_extra_2	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">imperfect basics</span><br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Estudiaba cada noche		Use imperfect for background, habits, descriptions, age, and ongoing past states.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_production
a2_1_daily_past::imperfect_basics::typed_production_extra_3	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	imperfect basics	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">imperfect basics</span><br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br><span class=""front-instruction"">Model answer 3: compare grammar, word order, accents</span>"	Tenía diez años		Use imperfect for background, habits, descriptions, age, and ongoing past states.	Decision rule<br>Use imperfect for background, description, habitual past, or ongoing past state.<br><br>Pattern<br>-aba for -ar; -ía for -er/-ir; era/iba/veía are key irregulars<br><br>Common trap<br>Age in the past often uses imperfect: tenía.	- Cuando era niño, vivía en Madrid.<br>- Estudiaba cada noche.<br>- Tenía diez años.								spanish_core a2_1_daily_past imperfect_basics typed_production
a2_1_daily_past::preterite_vs_imperfect::rule	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	rule	self_grade	"<span class=""front-instruction"">Rule</span><br>preterite vs imperfect"	preterite = completed event; imperfect = background/habit/ongoing state		<b>Use</b><br>Choose past tense based on how the speaker frames the action.<br><br><b>Common trap</b><br>The same verb can use either tense with different meaning.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect rule
a2_1_daily_past::preterite_vs_imperfect::typed_contrast	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	typed_contrast	type_exact	"<span class=""front-instruction"">Type the correct Spanish form</span><br>I was studying when you called.<br><span class=""front-cue"">Contrast: Estudiaba cuando llamaste. / Estudié cuando llamabas.</span>"	Estudiaba cuando llamaste	Estudiaba cuando llamaste	Ongoing background uses imperfect; interrupting event uses preterite.<br><br>Full sentence: Estudiaba cuando llamaste.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect typed_contrast
a2_1_daily_past::preterite_vs_imperfect::typed_correction	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	typed_correction	type_compare	"<span class=""front-instruction"">Correct the learner error</span><br><span class=""wrong-spanish"">Ayer estudiaba dos horas.</span>"	Ayer estudié dos horas	Ayer estudié dos horas	A completed measured action uses preterite.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect typed_correction
a2_1_daily_past::preterite_vs_imperfect::typed_production	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	typed_production	type_exact	"<span class=""front-instruction"">Write in Spanish</span><br> It was raining when I arrived."	Llovía cuando llegué	Llovía cuando llegué	Background weather uses imperfect; arrival is preterite.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect typed_production
a2_1_daily_past::preterite_vs_imperfect::typed_production_extra_1	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">preterite vs imperfect</span><br>preterite = completed event; imperfect = background/habit/ongoing state<br><br><span class=""front-instruction"">Model answer 1: compare grammar, word order, accents</span>"	Estudiaba cuando llamaste		Choose past tense based on how the speaker frames the action.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect typed_production
a2_1_daily_past::preterite_vs_imperfect::typed_production_extra_2	Spanish Core Learning::A2.1 Daily Past	a2_1_daily_past	preterite vs imperfect	typed_production	self_grade	"<span class=""front-instruction"">Write any valid Spanish sentence or chunk using this pattern</span><br><span class=""topic-label"">preterite vs imperfect</span><br>preterite = completed event; imperfect = background/habit/ongoing state<br><br><span class=""front-instruction"">Model answer 2: compare grammar, word order, accents</span>"	Ayer estudié dos horas		Choose past tense based on how the speaker frames the action.	Decision rule<br>Use preterite for completed events and imperfect for background/habit/state.<br><br>Pattern<br>preterite = completed event; imperfect = background/habit/ongoing state<br><br>Common trap<br>The same verb can use either tense with different meaning.	- Estudiaba cuando llamaste.<br>- Ayer estudié dos horas.<br>- Era tarde cuando salimos.								spanish_core a2_1_daily_past preterite_vs_imperfect typed_production
