#separator:tab
#html:true
SourceID	Level	Phrase	Front	FrontHTML	Meaning	Examples	Tags
en_phrase_105_turn_down	level_2	turn down	Please turn down the music so we can hear each other.	"Please <span class=""target-phrase"">turn down</span> the music so we can hear each other."	To reject or lower volume.	- He turned down the offer after considering the timing.<br>- Turn down the oven at 180 degrees.<br>- Don't turn down questions; add them to the board.	english_phrases natural_phrases level_2 natural phrase turn_down
en_phrase_106_turn_out	level_2	turn out	The lights will turn out when the timer ends.	"The lights will <span class=""target-phrase"">turn out</span> when the timer ends."	To result in a particular outcome.	- It turns out the report was missing a signature.<br>- Turn out the chairs before the class.<br>- Turn out this weekend's event if it rains.	english_phrases natural_phrases level_2 natural phrase turn_out
en_phrase_107_turn_over	level_2	turn over	Please turn over the report before sending it.	"Please <span class=""target-phrase"">turn over</span> the report before sending it."	To rotate, flip, or hand over responsibility.	- He turned over the page to review the terms.<br>- Turn over the new team quickly during the shift.<br>- Turn over the assignment to your backup colleague.	english_phrases natural_phrases level_2 natural phrase turn_over
en_phrase_108_turn_to	level_2	turn to	When stuck, turn to the examples at the end.	"When stuck, <span class=""target-phrase"">turn to</span> the examples at the end."	To turn attention or effort toward something.	- Turn to your teammate if you need clarification.<br>- Turn to planning mode after the kickoff.<br>- Turn to the glossary page for the full list.	english_phrases natural_phrases level_2 natural phrase turn_to
en_phrase_109_look_at	level_2	look at	Look at the map and choose the quickest route.	"<span class=""target-phrase"">Look at</span> the map and choose the quickest route."	To direct your attention and view something.	- Look at the chart before you change the numbers.<br>- Look at this sentence and fix the date.<br>- Look at the schedule and let me know.	english_phrases natural_phrases level_2 natural phrase look_at
en_phrase_110_look_for	level_2	look for	Look for a charger before boarding the train.	"<span class=""target-phrase"">Look for</span> a charger before boarding the train."	To search for something or someone.	- I am looking for the final invoice right now.<br>- Look for a seat near the front.<br>- They looked for the missing adapter all morning.	english_phrases natural_phrases level_2 natural phrase look_for
en_phrase_111_look_after	level_2	look after	Can you look after my dog while I visit the clinic?	"Can you <span class=""target-phrase"">look after</span> my dog while I visit the clinic?"	To care for or supervise someone/something.	- My aunt can look after the house during the weekend.<br>- Look after the volunteers and keep attendance.<br>- She agreed to look after the team leads.	english_phrases natural_phrases level_2 natural phrase look_after
en_phrase_112_look_into	level_2	look into	The committee will look into the complaint this week.	"The committee will <span class=""target-phrase"">look into</span> the complaint this week."	To investigate or examine in detail.	- Please look into the billing error and report back.<br>- I will look into whether the feature can be restored.<br>- Look into this file; the bug is in the header.	english_phrases natural_phrases level_2 natural phrase look_into
en_phrase_113_look_up	level_2	look up	I had to look up the meeting room number in the app.	"I had to <span class=""target-phrase"">look up</span> the meeting room number in the app."	To search for information, often online or in a list.	- Look up the customer ID before you print it.<br>- Look up your answer in the guide.<br>- Look up the nearest station and go from there.	english_phrases natural_phrases level_2 natural phrase look_up
en_phrase_114_look_over	level_2	look over	Look over your notes before the interview.	"<span class=""target-phrase"">Look over</span> your notes before the interview."	To review or examine briefly for understanding.	- Could you look over this paragraph for clarity?<br>- Look over the agreement before you sign it.<br>- I will look over the logs after deployment.	english_phrases natural_phrases level_2 natural phrase look_over
en_phrase_115_look_through	level_2	look through	Look through the archive and pick the oldest draft.	"<span class=""target-phrase"">Look through</span> the archive and pick the oldest draft."	To scan or inspect the contents of something.	- I look through invoices every Friday.<br>- Look through the photos before editing.<br>- Look through the files and delete duplicates.	english_phrases natural_phrases level_2 natural phrase look_through
en_phrase_116_look_forward_to	level_2	look forward to	I look forward to hearing your final decision.	"I <span class=""target-phrase"">look forward to</span> hearing your final decision."	To anticipate something with interest.	- I look forward to the workshop next week.<br>- We look forward to your visit in September.<br>- She said she looks forward to the next chapter.	english_phrases natural_phrases level_2 natural phrase look_forward_to
en_phrase_117_look_around	level_2	look around	Look around the store before choosing a gift.	"<span class=""target-phrase"">Look around</span> the store before choosing a gift."	To explore or check what is available.	- We looked around the city and found a quiet cafe.<br>- Look around the office for a place to charge your phone.<br>- Take a minute to look around the gallery.	english_phrases natural_phrases level_2 natural phrase look_around
en_phrase_118_look_ahead	level_2	look ahead	We should look ahead to tomorrow's tasks now.	"We should <span class=""target-phrase"">look ahead</span> to tomorrow&#x27;s tasks now."	To think about future plans or events.	- Look ahead and book the bus early for Thursday.<br>- Look ahead at budget trends before the quarter ends.<br>- She always tells me to look ahead on deadlines.	english_phrases natural_phrases level_2 natural phrase look_ahead
en_phrase_119_come_in	level_2	come in	Come in and take a seat when you arrive.	"<span class=""target-phrase"">Come in</span> and take a seat when you arrive."	To enter a place.	- The meeting room is ready, so come in quickly.<br>- The rain came in through the open window.<br>- Come in, I prepared tea for everyone.	english_phrases natural_phrases level_2 natural phrase come_in
en_phrase_120_come_out	level_2	come out	Come out as soon as the storm stops.	"<span class=""target-phrase"">Come out</span> as soon as the storm stops."	To emerge or be revealed publicly.	- Come out as soon as the storm clears.<br>- The report will come out after final approval.<br>- Let him come out and start the meeting.	english_phrases natural_phrases level_2 natural phrase come_out
en_phrase_121_in_fact	level_3	in fact	In fact, our backup system restored the server in under 20 minutes.	"<span class=""target-phrase"">In fact</span>, our backup system restored the server in under 20 minutes."	Used to confirm or emphasize a true point.	- The meeting started late, but in fact we were on time for the keynote.<br>- The data looked complete, and in fact, it had already been validated by quality.<br>- The repair looked minor; in fact, it required a full replacement.	english_phrases natural_phrases level_3 natural phrase in_fact
en_phrase_122_for_example	level_3	for example	For example, the coach used three short drills before the game.	"<span class=""target-phrase"">For example</span>, the coach used three short drills before the game."	Used to introduce a concrete example.	- Some teams skip warmups; for example, the junior squad always stretches first.<br>- Several countries use different rail cards; for example, Germany and Japan have separate systems.<br>- Add one concrete detail; for example, mention the exact deadline.	english_phrases natural_phrases level_3 natural phrase for_example
en_phrase_123_for_instance	level_3	for instance	For instance, the city added more bike lanes after complaints.	"<span class=""target-phrase"">For instance</span>, the city added more bike lanes after complaints."	Used to give one specific case.	- Two recipes needed updates, and for instance, the soup one was delayed first.<br>- She keeps receipts for tax year, for instance, one for every trip over a hundred dollars.<br>- Several files were missing; for instance, the tax form was not attached.	english_phrases natural_phrases level_3 natural phrase for_instance
en_phrase_124_as_soon_as	level_3	as soon as	As soon as the test passes, we can deploy the patch.	"<span class=""target-phrase"">As soon as</span> the test passes, we can deploy the patch."	Used to indicate immediate sequence between events.	- As soon as the rain stopped, the runners started again.<br>- Please call me as soon as you finish booking the tickets.<br>- Send the receipt as soon as the payment clears.	english_phrases natural_phrases level_3 natural phrase as_soon_as
en_phrase_125_in_order	level_3	in order	In order to close the report, please attach the attendance sheet.	"<span class=""target-phrase"">In order</span> to close the report, please attach the attendance sheet."	Used to introduce a purpose, often before an infinitive.	- He stayed quiet in order to keep the surprise secret.<br>- The team postponed shipping in order to fix the security issue.<br>- We changed the route in order to avoid the flooded road.	english_phrases natural_phrases level_3 natural phrase in_order
en_phrase_126_at_the_moment	level_3	at the moment	At the moment, our office is using a rotating weekend schedule.	"<span class=""target-phrase"">At the moment</span>, our office is using a rotating weekend schedule."	Used to describe the current time period or present situation.	- At the moment, the building is closed for renovation.<br>- The team is still using temporary desks at the moment.<br>- At the moment, I cannot confirm the final price.	english_phrases natural_phrases level_3 natural phrase at_the_moment
en_phrase_127_in_the_meantime	level_3	in the meantime	In the meantime, the volunteers prepared the welcome packets.	"<span class=""target-phrase"">In the meantime</span>, the volunteers prepared the welcome packets."	Used to describe what happens while waiting for something else.	- She booked a hotel for next week; in the meantime, she set up a video chat.<br>- The storm warning is active, so we will wait at home in the meantime.<br>- The new laptop ships tomorrow; in the meantime, use the shared machine.	english_phrases natural_phrases level_3 natural phrase in_the_meantime
en_phrase_128_in_the_process_of	level_3	in the process of	In the process of migrating the database, we found two outdated scripts.	"<span class=""target-phrase"">In the process of</span> migrating the database, we found two outdated scripts."	Used when an action is currently underway.	- The school is in the process of rewiring the science lab.<br>- We are in the process of reviewing all expense receipts.<br>- They found three errors in the process of checking the archive.	english_phrases natural_phrases level_3 natural phrase in_the_process_of
en_phrase_129_at_the_same_time	level_3	at the same time	At the same time, she kept the meeting focused and encouraged everyone to speak.	"<span class=""target-phrase"">At the same time</span>, she kept the meeting focused and encouraged everyone to speak."	Used to show two things happen together.	- The app is easy to use at the same time as it remains secure.<br>- The design looks modern, and at the same time, it is affordable.<br>- She wanted speed and, at the same time, refused to skip testing.	english_phrases natural_phrases level_3 natural phrase at_the_same_time
en_phrase_130_on_the_other_hand	level_3	on the other hand	On the other hand, that route saves money but takes longer.	"<span class=""target-phrase"">On the other hand</span>, that route saves money but takes longer."	Used to present a contrasting point.	- The upgrade is expensive; on the other hand, it may reduce maintenance for years.<br>- The cafe is small, but on the other hand, the atmosphere is excellent.<br>- The cheaper hotel is farther away; on the other hand, breakfast is included.	english_phrases natural_phrases level_3 natural phrase on_the_other_hand
en_phrase_131_as_a_result	level_3	as a result	As a result of the delay, the launch date moved to Friday.	"<span class=""target-phrase"">As a result</span> of the delay, the launch date moved to Friday."	Used to show a consequence of a previous cause.	- She forgot the charger, and as a result, she missed the first online class.<br>- The leak was fixed early, and as a result, data loss stopped.<br>- The form was incomplete; as a result, approval took another week.	english_phrases natural_phrases level_3 natural phrase as_a_result
en_phrase_132_in_addition	level_3	in addition	In addition, we added a backup key to the account setup.	"<span class=""target-phrase"">In addition</span>, we added a backup key to the account setup."	Used to add extra information.	- The contract includes training. In addition, support is available 24/7.<br>- She bought two books, and in addition, she ordered a desk lamp.<br>- In addition, every invoice must include a project code.	english_phrases natural_phrases level_3 natural phrase in_addition
en_phrase_133_on_the_contrary	level_3	on the contrary	On the contrary, the low bid did not include any hidden fees.	"<span class=""target-phrase"">On the contrary</span>, the low bid did not include any hidden fees."	Used to introduce the opposite of a previous idea.	- The room looked quiet; on the contrary, it was packed with volunteers.<br>- Some think the project is slow, on the contrary, the code quality has improved.<br>- The tool is not slower; on the contrary, it cuts loading time in half.	english_phrases natural_phrases level_3 natural phrase on_the_contrary
en_phrase_134_in_contrast	level_3	in contrast	In contrast, older models were slower but more durable.	"<span class=""target-phrase"">In contrast</span>, older models were slower but more durable."	Used to show a clear difference between two things.	- City traffic is heavy; in contrast, the suburban roads were empty.<br>- The first draft was vague, and in contrast, the revision is very specific.<br>- In contrast, the second group improved after only two lessons.	english_phrases natural_phrases level_3 natural phrase in_contrast
en_phrase_135_in_the_first_place	level_3	in the first place	In the first place, the team should confirm the timezone.	"<span class=""target-phrase"">In the first place</span>, the team should confirm the timezone."	Used to emphasize the original reason or starting point.	- I asked for the raw file in the first place, then I requested the summary.<br>- The policy was unrealistic in the first place, so we redesigned it.<br>- Why was the temporary file shared in the first place?	english_phrases natural_phrases level_3 natural phrase in_the_first_place
en_phrase_136_in_the_long_run	level_3	in the long run	In the long run, this library will cut support costs.	"<span class=""target-phrase"">In the long run</span>, this library will cut support costs."	Used to describe long-term outcomes.	- The startup invested in documentation; in the long run it reduced onboarding time.<br>- The patient improved slowly, and in the long run the treatment worked well.<br>- In the long run, clear documentation saves more time than quick fixes.	english_phrases natural_phrases level_3 natural phrase in_the_long_run
en_phrase_137_in_the_short_term	level_3	in the short term	In the short term, we will keep one support agent on call.	"<span class=""target-phrase"">In the short term</span>, we will keep one support agent on call."	Used to describe near-future or temporary effects.	- The company cut overtime this quarter, and in the short term output dipped.<br>- She accepted a temporary role in the short term to cover a leave.<br>- In the short term, the manual workaround is acceptable.	english_phrases natural_phrases level_3 natural phrase in_the_short_term
en_phrase_138_at_the_end_of_the_day	level_3	at the end of the day	At the end of the day, reputation mattered more than features.	"<span class=""target-phrase"">At the end of the day</span>, reputation mattered more than features."	Used to return to the main conclusion.	- The speakers praised many options, but at the end of the day, reliability won.<br>- At the end of the day, the team agreed to keep the manual review step.<br>- At the end of the day, the customer needs a working product.	english_phrases natural_phrases level_3 natural phrase at_the_end_of_the_day
en_phrase_139_in_broad_terms	level_3	in broad terms	In broad terms, the strategy was to reduce waste and add clarity.	"<span class=""target-phrase"">In broad terms</span>, the strategy was to reduce waste and add clarity."	Used to state a general idea without fine detail.	- In broad terms, remote work changed how the team communicates.<br>- The law affects many sectors, in broad terms mostly food and healthcare.<br>- In broad terms, the policy rewards speed but punishes risk-taking.	english_phrases natural_phrases level_3 natural phrase in_broad_terms
en_phrase_140_in_practical_terms	level_3	in practical terms	In practical terms, the app needs an offline fallback.	"<span class=""target-phrase"">In practical terms</span>, the app needs an offline fallback."	Used to translate an idea into concrete, real-world effect.	- In practical terms, that means fewer clicks for each report.<br>- The theory sounds fine, but in practical terms the team needed stronger training.<br>- In practical terms, the change means fewer evening shifts.	english_phrases natural_phrases level_3 natural phrase in_practical_terms
en_phrase_141_in_detail	level_3	in detail	In detail, the audit documented every network path change.	"<span class=""target-phrase"">In detail</span>, the audit documented every network path change."	Used to describe something fully and specifically.	- She explained the model in detail so the committee could approve it.<br>- The manual walks through the process in detail, step by step.<br>- The appendix explains the calculation in detail.	english_phrases natural_phrases level_3 natural phrase in_detail
en_phrase_142_for_the_time_being	level_3	for the time being	For the time being, the hallway will be open only on weekdays.	"<span class=""target-phrase"">For the time being</span>, the hallway will be open only on weekdays."	Used to refer to a temporary arrangement.	- The event is paused; for the time being, registration is manual.<br>- They will lease the studio for the time being while they look for a permanent space.<br>- For the time being, keep using the old login page.	english_phrases natural_phrases level_3 natural phrase for_the_time_being
en_phrase_143_at_first_glance	level_3	at first glance	At first glance, the report looked complete.	"<span class=""target-phrase"">At first glance</span>, the report looked complete."	Used to refer to an initial, quick impression.	- At first glance the painting looked modern, but it was a classic replica.<br>- The bug looked minor at first glance; deeper tests found three causes.<br>- At first glance, the proposal looked expensive but realistic.	english_phrases natural_phrases level_3 natural phrase at_first_glance
en_phrase_144_as_far_as	level_3	as far as	As far as the map shows, the route is two hours longer.	"<span class=""target-phrase"">As far as</span> the map shows, the route is two hours longer."	Used to indicate extent or limit of knowledge.	- As far as our tests show, the fix is stable.<br>- As far as our team can tell, the outage was caused by power loss.<br>- As far as I know, no one has approved the final design.	english_phrases natural_phrases level_3 natural phrase as_far_as
en_phrase_145_as_long_as	level_3	as long as	As long as you confirm the code, the build will start automatically.	"<span class=""target-phrase"">As long as</span> you confirm the code, the build will start automatically."	Used to state a condition for another action.	- You can stay as long as you finish this task first.<br>- As long as we have power backup, the server will remain online.<br>- You can borrow the laptop as long as you return it tonight.	english_phrases natural_phrases level_3 natural phrase as_long_as
en_phrase_146_as_much_as	level_3	as much as	She helped as much as she could before leaving for the night.	"She helped <span class=""target-phrase"">as much as</span> she could before leaving for the night."	Used to compare amount, degree, or intensity.	- He values speed as much as reliability in tools.<br>- I can stay as much as you need, especially during the launch week.<br>- As much as I like the idea, we cannot afford it this month.	english_phrases natural_phrases level_3 natural phrase as_much_as
en_phrase_147_as_well_as	level_3	as well as	As well as the core package, the plugin handles exports.	"<span class=""target-phrase"">As well as</span> the core package, the plugin handles exports."	Used to add one item in addition to another.	- The room has heating as well as central cooling.<br>- She speaks Spanish as well as French for international clients.<br>- The course covers pronunciation as well as grammar.	english_phrases natural_phrases level_3 natural phrase as_well_as
en_phrase_148_as_soon_as_possible	level_3	as soon as possible	As soon as possible, send the invoice to the finance team.	"<span class=""target-phrase"">As soon as possible</span>, send the invoice to the finance team."	Used to request action at the earliest feasible time.	- The technician should arrive as soon as possible after the outage.<br>- Send the replacement part as soon as possible, but only after powering down.<br>- Please send the signed copy as soon as possible.	english_phrases natural_phrases level_3 natural phrase as_soon_as_possible
en_phrase_149_as_often_as	level_3	as often as	As often as the weather is calm, we hike by the lake.	"<span class=""target-phrase"">As often as</span> the weather is calm, we hike by the lake."	Used to describe frequency of repeated events.	- She calls her mother as often as she can.<br>- We review the design as often as every Friday before release.<br>- Check the dashboard as often as the data changes.	english_phrases natural_phrases level_3 natural phrase as_often_as
en_phrase_150_at_any_rate	level_3	at any rate	At any rate, we still have a backup plan in case the train is late.	"<span class=""target-phrase"">At any rate</span>, we still have a backup plan in case the train is late."	Used to state a fallback minimum or fallback perspective.	- I don't know the full budget, but at any rate the proposal is within range.<br>- At any rate, the team approved the safer option.<br>- At any rate, we should keep a backup copy.	english_phrases natural_phrases level_3 natural phrase at_any_rate
en_phrase_151_at_least	level_3	at least	At least, we confirmed the date before posting the invite.	"<span class=""target-phrase"">At least</span>, we confirmed the date before posting the invite."	Used to note the minimum amount, limit, or expectation.	- At least three sensors are required for this model.<br>- The room is on the second floor, at least according to the building map.<br>- At least one reviewer should check the final version.	english_phrases natural_phrases level_3 natural phrase at_least
en_phrase_152_at_least_once	level_3	at least once	Try the espresso at least once before comparing the blends.	"Try the espresso <span class=""target-phrase"">at least once</span> before comparing the blends."	Used to indicate that something should happen a minimum single time.	- I have watched that documentary at least once, and it still changes my perspective.<br>- The team should review the checklist at least once after every shift.<br>- Every new hire should shadow support at least once.	english_phrases natural_phrases level_3 natural phrase at_least_once
en_phrase_153_at_your_convenience	level_3	at your convenience	At your convenience, please upload the signed agreement.	"At your <span class=""target-phrase"">convenience</span>, please upload the signed agreement."	Used to say someone may do something when they have time.	- She sent the photos at your convenience and later asked if she should post them.<br>- At your convenience, we can reschedule the interview.<br>- At your convenience, send me the revised travel dates.	english_phrases natural_phrases level_3 natural phrase at_your_convenience
en_phrase_154_by_the_way	level_3	by the way	By the way, the keynote starts at 4 p.m., not 3.	"<span class=""target-phrase"">By the way</span>, the keynote starts at 4 p.m., not 3."	Used to add a side note or related point.	- The package shipped today; by the way, it includes the charger too.<br>- He asked about shipping. By the way, did you check the serial number?<br>- By the way, the Spanish deck update finished successfully.	english_phrases natural_phrases level_3 natural phrase by_the_way
en_phrase_155_by_then	level_3	by then	By then, the committee will have reviewed all applications.	"<span class=""target-phrase"">By then</span>, the committee will have reviewed all applications."	Used to refer to a specific future point in time.	- The office should be repainted by then, and the signs will be updated.<br>- We expect the update to finish by then, so we can demo early next week.<br>- By then, the new cards should already be in Anki.	english_phrases natural_phrases level_3 natural phrase by_then
en_phrase_156_by_all_means	level_3	by all means	By all means, invite the entire lab to the welcome meeting.	"<span class=""target-phrase"">By all means</span>, invite the entire lab to the welcome meeting."	Used for enthusiastic permission or strong encouragement.	- They were worried about the pitch, and by all means, she pushed for a public trial.<br>- If you are free on Tuesday, by all means take the lead.<br>- If the wording is unclear, by all means rewrite it.	english_phrases natural_phrases level_3 natural phrase by_all_means
en_phrase_157_by_and_large	level_3	by and large	By and large, customers preferred the faster interface.	"<span class=""target-phrase"">By and large</span>, customers preferred the faster interface."	Used to give a general overall judgment.	- By and large, the program increased engagement across all regions.<br>- The city is expensive, and by and large, tourists still visit in summer.<br>- By and large, the feedback was positive.	english_phrases natural_phrases level_3 natural phrase by_and_large
en_phrase_158_from_now_on	level_3	from now on	From now on, we will track each shipment with a barcode.	"<span class=""target-phrase"">From now on</span>, we will track each shipment with a barcode."	Used to indicate a change starting from the present.	- From now on, no invoices are sent without receipts.<br>- The school will lock after 8 p.m. from now on.<br>- From now on, every card needs a stable source ID.	english_phrases natural_phrases level_3 natural phrase from_now_on
en_phrase_159_from_time_to_time	level_3	from time to time	From time to time, the train skips a stop for maintenance.	"<span class=""target-phrase"">From time to time</span>, the train skips a stop for maintenance."	Used for occasional or intermittent events.	- We host volunteer days from time to time during the winter.<br>- Their server gets audited from time to time to catch hidden risks.<br>- From time to time, older examples need another review.	english_phrases natural_phrases level_3 natural phrase from_time_to_time
en_phrase_160_from_scratch	level_3	from scratch	She built the prototype from scratch in three weeks.	"She built the prototype <span class=""target-phrase"">from scratch</span> in three weeks."	Used when creating something with no prior base.	- He learned the language from scratch by coding every evening.<br>- We rewrote the website from scratch after the migration failed.<br>- We rebuilt the import script from scratch after the format changed.	english_phrases natural_phrases level_3 natural phrase from_scratch
en_phrase_161_from_the_start	level_3	from the start	From the start, the team logged every decision in a shared note.	"<span class=""target-phrase"">From the start</span>, the team logged every decision in a shared note."	Used to refer to the beginning of a process.	- From the start, we told participants there would be no penalties for late questions.<br>- The project was documented from the start, which avoided confusion later.<br>- From the start, the deck was meant for recognition practice.	english_phrases natural_phrases level_3 natural phrase from_the_start
en_phrase_162_from_the_beginning	level_3	from the beginning	From the beginning, the lesson used real examples and short quizzes.	"<span class=""target-phrase"">From the beginning</span>, the lesson used real examples and short quizzes."	Used to refer to the starting point of something.	- We explained the policy from the beginning, so no one was surprised later.<br>- The book was written from the beginning as a practical guide.<br>- Read the instructions from the beginning before editing the file.	english_phrases natural_phrases level_3 natural phrase from_the_beginning
en_phrase_163_from_the_outset	level_3	from the outset	From the outset, she insisted on encrypted backups.	"<span class=""target-phrase"">From the outset</span>, she insisted on encrypted backups."	Used to indicate conditions fixed at the earliest stage.	- From the outset, the museum planned a family-friendly route.<br>- The campaign team set accessibility goals from the outset.<br>- From the outset, the plan required safe Anki updates.	english_phrases natural_phrases level_3 natural phrase from_the_outset
en_phrase_164_for_the_record	level_3	for the record	For the record, the meeting started at 10:05 with three attendees.	"<span class=""target-phrase"">For the record</span>, the meeting started at 10:05 with three attendees."	Used to make a statement formally recorded.	- For the record, the supplier confirmed delivery before noon.<br>- She asked for silence for the record, then read the announcement.<br>- For the record, the deck now has 360 cards.	english_phrases natural_phrases level_3 natural phrase for_the_record
en_phrase_165_for_practical_reasons	level_3	for practical reasons	For practical reasons, we kept the meeting in the smaller room.	"<span class=""target-phrase"">For practical reasons</span>, we kept the meeting in the smaller room."	Used to justify a choice based on real-world practicality.	- They moved data to a local cache for practical reasons, not theory.<br>- For practical reasons, we switched vendors before launch.<br>- For practical reasons, we kept the note type simple.	english_phrases natural_phrases level_3 natural phrase for_practical_reasons
en_phrase_166_for_all_intents_and_purposes	level_3	for all intents and purposes	For all intents and purposes, the pilot is fully operational.	"<span class=""target-phrase"">For all intents and purposes</span>, the pilot is fully operational."	"Equivalent phrase meaning ""practically true in all relevant ways."""	- The archive is locked; for all intents and purposes, it is secure.<br>- The bridge is ready for all intents and purposes, though inspectors still finish paperwork.<br>- For all intents and purposes, the preview deck became the real deck.	english_phrases natural_phrases level_3 natural phrase for_all_intents_and_purposes
en_phrase_167_for_this_reason	level_3	for this reason	For this reason, the team moved the backup server out of the office.	"<span class=""target-phrase"">For this reason</span>, the team moved the backup server out of the office."	Used to introduce a specific reason for what follows.	- The storm flooded the lower floor; for this reason, we closed the gallery.<br>- Her visa was delayed, and for this reason the trip was postponed.<br>- For this reason, I checked the import file after rendering.	english_phrases natural_phrases level_3 natural phrase for_this_reason
en_phrase_168_for_your_safety	level_3	for your safety	For your safety, the train doors will close automatically during the station stop.	"For your <span class=""target-phrase"">safety</span>, the train doors will close automatically during the station stop."	Used to explain measures taken to protect someone.	- Keep your badge visible for your safety in the restricted lab.<br>- We lowered the speed limits for your safety in the parking area.<br>- For your safety, do not enter the lab without goggles.	english_phrases natural_phrases level_3 natural phrase for_your_safety
en_phrase_169_to_begin_with	level_3	to begin with	To begin with, we tested the core workflow and only then added extras.	"To <span class=""target-phrase"">begin with</span>, we tested the core workflow and only then added extras."	Used to open an explanation with first point.	- To begin with, please read the user guide, then submit feedback.<br>- The chef prepared the sauce to begin with, and only then plated the dish.<br>- To begin with, review the high-frequency phrases.	english_phrases natural_phrases level_3 natural phrase to_begin_with
en_phrase_170_to_be_frank	level_3	to be frank	To be frank, the launch felt rushed and underprepared.	"To <span class=""target-phrase"">be frank</span>, the launch felt rushed and underprepared."	Used to introduce an honest or direct opinion.	- To be frank, I did not expect the room to fill up so quickly.<br>- The memo was vague; to be frank, everyone wanted the deadline moved.<br>- To be frank, the first generated examples were too repetitive.	english_phrases natural_phrases level_3 natural phrase to_be_frank
en_phrase_171_to_sum_up	level_3	to sum up	To sum up, the proposal passes if we reduce support costs by ten percent.	"To <span class=""target-phrase"">sum up</span>, the proposal passes if we reduce support costs by ten percent."	Used to summarize a discussion or section.	- The data was clear; to sum up, we need a redesign.<br>- To sum up, safety checks and user testing are non-negotiable.<br>- To sum up, the structure is good but examples need review.	english_phrases natural_phrases level_3 natural phrase to_sum_up
en_phrase_172_to_make_a_long_story_short	level_3	to make a long story short	To make a long story short, we lost one supplier and recovered quickly.	"To <span class=""target-phrase"">make a long story short</span>, we lost one supplier and recovered quickly."	Used to give a brief summary after details.	- The route was delayed, detoured, and rerouted; to make a long story short, everyone arrived late.<br>- We can explain all the issues later; to make a long story short, the build is stable.<br>- To make a long story short, the update worked.	english_phrases natural_phrases level_3 natural phrase to_make_a_long_story_short
en_phrase_173_to_be_clear	level_3	to be clear	To be clear, any edits must be approved by design.	"To <span class=""target-phrase"">be clear</span>, any edits must be approved by design."	Used to state meaning plainly before giving details.	- To be clear, I will only commit after review.<br>- The contract says this is optional, and to be clear, no fees are listed.<br>- To be clear, no existing cards were deleted.	english_phrases natural_phrases level_3 natural phrase to_be_clear
en_phrase_174_to_tell_the_truth	level_3	to tell the truth	To tell the truth, the app needed one more round of testing.	"To <span class=""target-phrase"">tell the truth</span>, the app needed one more round of testing."	Used to signal a candid disclosure.	- The plan looked chaotic; to tell the truth, we had missed a major assumption.<br>- She praised the design, and to tell the truth, preferred the simpler layout.<br>- To tell the truth, I prefer fewer but better cards.	english_phrases natural_phrases level_3 natural phrase to_tell_the_truth
en_phrase_175_to_say_the_least	level_3	to say the least	It was inconvenient, to say the least, during the power outage.	"It was inconvenient, to <span class=""target-phrase"">say the least</span>, during the power outage."	Used to indicate minimum characterization, often with understatement.	- The ride was delayed, to say the least, by a storm.<br>- The result was disappointing, to say the least, compared with last quarter.<br>- The first draft was uneven, to say the least.	english_phrases natural_phrases level_3 natural phrase to_say_the_least
en_phrase_176_to_a_large_extent	level_3	to a large extent	To a large extent, team morale improved after the office redesign.	"To <span class=""target-phrase"">a large extent</span>, team morale improved after the office redesign."	Used to indicate a strong degree though not complete.	- The recommendation is reliable to a large extent, though not perfect.<br>- The delay was due to one issue; to a large extent, it came from the old router.<br>- To a large extent, progress depends on daily reviews.	english_phrases natural_phrases level_3 natural phrase to_a_large_extent
en_phrase_177_to_the_point	level_3	to the point	She was to the point in every status update.	"She was to <span class=""target-phrase"">the point</span> in every status update."	Used to keep discussion focused and concise.	- The manager gave a to the point summary during the five-minute check-in.<br>- His feedback was short and to the point.<br>- Keep your answer short and to the point.	english_phrases natural_phrases level_3 natural phrase to_the_point
en_phrase_178_to_the_contrary	level_3	to the contrary	To the contrary, every report showed improved engagement.	"To <span class=""target-phrase"">the contrary</span>, every report showed improved engagement."	Used to reject a previous statement and present opposite evidence.	- People expected delays; to the contrary, the launch was early.<br>- The software looked risky, yet to the contrary, users reported fewer bugs.<br>- There is no evidence to the contrary in the logs.	english_phrases natural_phrases level_3 natural phrase to_the_contrary
en_phrase_179_in_terms_of	level_3	in terms of	In terms of speed, the new model is much better.	"<span class=""target-phrase"">In terms of</span> speed, the new model is much better."	Used to define scope or measurement using a specific criterion.	- In terms of security, this tool is still untested.<br>- In terms of cost, the option is manageable, but staffing is still a challenge.<br>- In terms of usefulness, examples matter more than definitions.	english_phrases natural_phrases level_3 natural phrase in_terms_of
en_phrase_180_in_relation_to	level_3	in relation to	In relation to budget, we can still add one more week.	"<span class=""target-phrase"">In relation to</span> budget, we can still add one more week."	Used to compare or connect a topic to another.	- The bonus policy, in relation to performance, is straightforward.<br>- In relation to customer feedback, the dashboard changes look successful.<br>- In relation to grammar, phrases often show real usage.	english_phrases natural_phrases level_3 natural phrase in_relation_to
